filename	url
ambiance.xrdb	NA
chaos.xrdb	NA
chrome.xrdb	NA
clouds.xrdb	NA
clouds_midnight.xrdb	NA
cobalt.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Cobalt%20Neon.xrdb
crimson_editor.xrdb	NA
dawn.xrdb	NA
dracula.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Dracula.xrdb
dreamweaver.xrdb	NA
eclipse.xrdb	NA
idle_fingers.xrdb	NA
katzenmilch.xrdb	NA
kr_theme.xrdb	NA
material.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Material.xrdb
merbivore.xrdb	NA
merbivore_soft.xrdb	NA
mono_industrial.xrdb	NA
monokai.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Monokai%20Vivid.xrdb
pastel_on_dark.xrdb	NA
solarized_dark.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Builtin%20Solarized%20Dark.xrdb
solarized_light.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Builtin%20Solarized%20Light.xrdb
textmate.xrdb	NA
tomorrow.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Tomorrow.xrdb
tomorrow_night.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Tomorrow%20Night.xrdb
tomorrow_night_blue.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Tomorrow%20Night%20Blue.xrdb
tomorrow_night_bright.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Tomorrow%20Night%20Bright.xrdb
tomorrow_night_eighties.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Tomorrow%20Night%20Eighties.xrdb
twilight.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/Twilight.xrdb
vibrant_ink.xrdb	https://github.com/mbadolato/iTerm2-Color-Schemes/raw/master/xrdb/VibrantInk.xrdb
xcode.xrdb	NA
